,id,timestamp,hour,day,month,datetime,timezone,source,destination,cab_type,product_id,name,price,distance,surge_multiplier,latitude,longitude,temperature,apparentTemperature,short_summary,long_summary,precipIntensity,precipProbability,humidity,windSpeed,windGust,windGustTime,visibility,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,icon,dewPoint,pressure,windBearing,cloudCover,uvIndex,visibility.1,ozone,sunriseTime,sunsetTime,moonPhase,precipIntensityMax,uvIndexTime,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
1035,97b03b5b-8c21-4358-9c91-0d254f801782,1543319842.0,11.0,27.0,11.0,11/27/18 11:57,America/New_York,Fenway,Back Bay,Uber,6c84fd89-3f11-4782-9b50-97c468b19529,Black,18.0,1.5,1.0,42.3647,-71.0542,46.23,43.49, Light Rain , Light rain in the morning. ,0.0488,1.0,0.92,5.47,5.47,1543338000.0,3.564,47.11,1543320000.0,33.85,1543399200.0,44.14,1543320000.0,30.03,1543399200.0, rain ,44.14,988.85,122.0,1.0,0.0,3.564,305.5,1543319468.0,1543353343.0,0.68,0.143,1543338000.0,36.34,1543377600.0,47.11,1543320000.0,32.26,1543377600.0,44.14,1543320000.0
1036,a7aad5d3-20dd-4341-b939-a856a6a97f96,1543630685.0,2.0,1.0,12.0,12/1/18 02:18,America/New_York,Boston University,Beacon Hill,Lyft,lyft_plus,Lyft XL,13.5,2.7,1.0,42.3644,-71.0661,36.89,34.35, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.71,3.41,4.58,1543554000.0,9.884,42.57,1543600800.0,31.48,1543658400.0,40.51,1543611600.0,27.89,1543658400.0, cloudy ,28.43,1018.23,303.0,0.97,0.0,9.884,290.5,1543578870.0,1543612473.0,0.79,0.0004,1543593600.0,28.64,1543575600.0,42.57,1543600800.0,27.2,1543568400.0,40.51,1543611600.0
1037,bfa36c9c-62e4-44bf-ad64-ae5b3317ff3f,1544767207.0,6.0,14.0,12.0,12/14/18 06:00,America/New_York,North Station,Northeastern University,Uber,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,17.5,3.15,1.0,42.3647,-71.0542,29.63,29.63, Mostly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.74,1.1,2.49,1544846400.0,9.716,46.51,1544814000.0,40.83,1544832000.0,43.74,1544817600.0,38.65,1544835600.0, partly-cloudy-night ,22.41,1035.55,212.0,0.77,0.0,9.716,299.1,1544789236.0,1544822010.0,0.24,0.0,1544806800.0,27.27,1544781600.0,46.51,1544814000.0,24.61,1544785200.0,43.74,1544817600.0
1038,b8a88701-1c5f-4fd6-8b71-b12902e7beba,1543504081.0,15.0,29.0,11.0,11/29/18 15:08,America/New_York,West End,Boston University,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,10.5,2.8,1.0,42.3519,-71.0551,43.0,37.07, Partly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.54,10.72,14.22,1543514400.0,9.931,44.76,1543510800.0,28.78,1543579200.0,38.44,1543510800.0,26.32,1543575600.0, partly-cloudy-day ,27.34,1006.43,313.0,0.49,1.0,9.931,326.8,1543492400.0,1543526095.0,0.75,0.0,1543510800.0,35.12,1543550400.0,44.76,1543510800.0,30.85,1543550400.0,38.44,1543510800.0
1039,8ae9cfc4-0c2e-4f43-93f7-f0e814612268,1543706879.0,23.0,1.0,12.0,12/1/18 23:27,America/New_York,Fenway,Theatre District,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,11.5,2.66,1.0,42.3519,-71.0643,37.05,37.05, Partly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.74,2.34,2.87,1543672800.0,9.785,44.76,1543690800.0,34.83,1543712400.0,44.09,1543690800.0,35.48,1543712400.0, partly-cloudy-night ,29.65,1023.57,133.0,0.31,0.0,9.785,271.5,1543665331.0,1543698855.0,0.82,0.0,1543683600.0,31.42,1543658400.0,44.76,1543690800.0,27.77,1543658400.0,44.09,1543690800.0
1040,f6d5f5f2-3678-41f6-b061-b4c868735162,1544739013.0,22.0,13.0,12.0,12/13/18 22:10,America/New_York,Theatre District,Haymarket Square,Lyft,lyft_premier,Lux,16.5,1.83,1.0,42.3644,-71.0661,31.98,31.98, Mostly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.61,1.98,3.86,1544738400.0,10.0,33.81,1544731200.0,27.05,1544781600.0,32.82,1544734800.0,27.7,1544781600.0, partly-cloudy-night ,19.94,1034.76,161.0,0.71,0.0,10.0,328.5,1544702794.0,1544735602.0,0.21,0.0001,1544716800.0,17.91,1544688000.0,33.81,1544731200.0,13.47,1544688000.0,32.82,1544734800.0
1041,05003133-1fce-4897-b90b-60b9e8788989,1545013811.0,2.0,17.0,12.0,12/17/18 02:30,America/New_York,Financial District,Boston University,Uber,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,49.5,5.7,1.0,42.3519,-71.0551,40.39,34.5, Light Rain , Rain throughout the day. ,0.092,1.0,0.91,9.15,14.64,1545015600.0,3.202,43.76,1544990400.0,34.14,1545044400.0,38.3,1544986800.0,28.12,1545044400.0, rain ,37.83,1009.75,49.0,1.0,0.0,3.202,324.3,1544962117.0,1544994842.0,0.3,0.1266,1544979600.0,39.29,1544954400.0,43.76,1544990400.0,33.73,1545019200.0,38.3,1544986800.0
1042,4477c640-42c4-46a7-a593-c857c6b25493,1543720680.0,3.0,2.0,12.0,12/2/18 03:17,America/New_York,Theatre District,Boston University,Uber,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,16.0,2.62,1.0,42.3588,-71.0707,37.11,37.11, Mostly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.84,1.71,2.78,1543672800.0,9.92,44.5,1543690800.0,34.95,1543712400.0,43.83,1543690800.0,35.6,1543712400.0, partly-cloudy-night ,32.69,1023.35,133.0,0.81,0.0,9.92,273.2,1543665334.0,1543698856.0,0.82,0.0,1543683600.0,31.65,1543665600.0,44.5,1543690800.0,28.13,1543658400.0,43.83,1543690800.0
1043,2ec1e757-6206-4818-8578-25cdfdb0ea06,1543424528.0,17.0,28.0,11.0,11/28/18 17:02,America/New_York,Fenway,North Station,Lyft,lyft_plus,Lyft XL,16.5,3.44,1.0,42.3644,-71.0661,40.77,35.14, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.63,8.76,14.9,1543431600.0,10.0,42.57,1543438800.0,37.37,1543489200.0,36.55,1543438800.0,31.91,1543478400.0, cloudy ,29.17,991.33,303.0,1.0,1.0,10.0,352.4,1543405938.0,1543439719.0,0.72,0.0,1543420800.0,33.7,1543399200.0,42.57,1543438800.0,29.94,1543399200.0,36.55,1543438800.0
1044,55767888-40df-4fb6-a446-39a4216d7225,1543295542.0,5.0,27.0,11.0,11/27/18 05:12,America/New_York,Northeastern University,Back Bay,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,9.5,1.64,1.0,42.3647,-71.0542,43.57,37.78, Rain , Light rain in the morning. ,0.1447,1.0,0.91,10.75,17.46,1543338000.0,3.579,47.11,1543320000.0,33.85,1543399200.0,44.14,1543320000.0,30.03,1543399200.0, rain ,41.0,999.82,75.0,1.0,0.0,3.579,288.7,1543319468.0,1543353343.0,0.68,0.143,1543338000.0,36.34,1543377600.0,47.11,1543320000.0,32.26,1543377600.0,44.14,1543320000.0
1045,d42d25d9-599c-494b-9818-91da84abe977,1543860176.0,18.0,3.0,12.0,12/3/18 18:02,America/New_York,Fenway,Financial District,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,15.0,4.4,1.0,42.3519,-71.0551,54.62,54.62, Overcast , Foggy in the morning. ,0.0,0.0,0.51,11.12,13.65,1543856400.0,10.0,57.27,1543852800.0,33.67,1543921200.0,56.6,1543852800.0,28.0,1543914000.0, cloudy ,37.03,999.16,284.0,0.98,1.0,10.0,309.1,1543838253.0,1543871621.0,0.89,0.0005,1543852800.0,42.89,1543896000.0,57.27,1543852800.0,39.54,1543896000.0,56.6,1543852800.0
1047,6c549447-6c26-407a-8c95-b137f0cf1ca1,1543613577.0,21.0,30.0,11.0,11/30/18 21:32,America/New_York,Northeastern University,Back Bay,Lyft,lyft,Lyft,7.0,1.46,1.0,42.3647,-71.0542,40.33,38.44, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.6,3.27,4.24,1543554000.0,9.839,42.52,1543600800.0,31.71,1543658400.0,40.53,1543611600.0,28.06,1543658400.0, cloudy ,27.35,1017.09,278.0,1.0,0.0,9.839,280.7,1543578867.0,1543612470.0,0.79,0.0003,1543593600.0,28.79,1543579200.0,42.52,1543600800.0,26.41,1543575600.0,40.53,1543611600.0
1048,1bf8cf01-deab-4923-9623-240a71e7395b,1544805608.0,16.0,14.0,12.0,12/14/18 16:40,America/New_York,Haymarket Square,West End,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,7.5,0.62,1.0,42.3661,-71.0631,43.0,41.26, Clear , Partly cloudy throughout the day. ,0.0,0.0,0.58,3.49,3.49,1544846400.0,9.932,46.61,1544814000.0,40.76,1544835600.0,43.85,1544817600.0,38.58,1544835600.0, clear-day ,29.04,1032.03,221.0,0.04,2.0,9.932,291.1,1544789238.0,1544822012.0,0.24,0.0,1544806800.0,27.11,1544781600.0,46.61,1544814000.0,27.76,1544781600.0,43.85,1544817600.0
1049,2e284499-8d1e-48ef-97c2-f5086f05404b,1543657081.0,9.0,1.0,12.0,12/1/18 09:38,America/New_York,Theatre District,Boston University,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,9.5,2.62,1.0,42.3429,-71.1003,31.87,27.83, Mostly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.82,4.09,4.09,1543672800.0,9.687,44.82,1543690800.0,34.57,1543712400.0,44.15,1543690800.0,35.22,1543712400.0, partly-cloudy-night ,26.99,1019.9,312.0,0.52,0.0,9.687,282.9,1543665338.0,1543698866.0,0.82,0.0,1543683600.0,31.11,1543662000.0,44.82,1543690800.0,27.8,1543662000.0,44.15,1543690800.0
1050,e23f529f-39c7-44cb-ae3c-0b5ba50e42df,1544951109.0,9.0,16.0,12.0,12/16/18 09:05,America/New_York,Fenway,Beacon Hill,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,9.5,2.46,1.0,42.2148,-71.033,42.34,37.12, Mostly Cloudy , Rain throughout the day. ,0.0,0.0,0.68,8.66,9.17,1545015600.0,10.0,43.68,1544968800.0,34.19,1545048000.0,37.95,1544968800.0,27.39,1545044400.0, partly-cloudy-night ,32.7,1021.98,57.0,0.72,0.0,10.0,303.8,1544962084.0,1544994864.0,0.3,0.1276,1544979600.0,39.89,1545012000.0,43.68,1544968800.0,33.73,1545012000.0,38.07,1544958000.0
1051,9fd8ac95-b442-4839-aa12-e72a8d4d7a82,1543287984.0,3.0,27.0,11.0,11/27/18 03:06,America/New_York,Theatre District,Fenway,Lyft,lyft_line,Shared,7.0,3.16,1.0,42.3661,-71.0631,43.73,37.84, Rain ," Rain until morning, starting again in the evening. ",0.1088,1.0,0.89,11.14,16.89,1543287600.0,4.503,46.49,1543255200.0,41.9,1543298400.0,43.84,1543244400.0,36.7,1543298400.0, rain ,40.83,1001.71,79.0,1.0,0.0,4.503,290.3,1543233003.0,1543266973.0,0.64,0.1225,1543251600.0,40.45,1543233600.0,46.49,1543255200.0,37.17,1543291200.0,43.84,1543244400.0
1052,48443b8c-21e4-44f4-9f1b-766ad8245e62,1543549082.0,3.0,30.0,11.0,11/30/18 03:38,America/New_York,Theatre District,South Station,Lyft,lyft_lux,Lux Black,16.5,0.59,1.0,42.3519,-71.0643,35.95,31.19, Clear , Partly cloudy throughout the day. ,0.0,0.0,0.69,5.66,6.86,1543514400.0,10.0,44.8,1543510800.0,28.7,1543579200.0,38.51,1543510800.0,26.3,1543575600.0, clear-night ,26.76,1012.75,325.0,0.02,0.0,10.0,294.2,1543492402.0,1543526097.0,0.75,0.0,1543510800.0,35.02,1543550400.0,44.8,1543510800.0,30.81,1543550400.0,38.51,1543510800.0
1053,c5dfc48c-9c30-4b84-ae0f-2e337397c427,1545026105.0,5.0,17.0,12.0,12/17/18 05:55,America/New_York,North Station,North End,Uber,6c84fd89-3f11-4782-9b50-97c468b19529,Black,16.0,1.08,1.0,42.3519,-71.0643,39.27,33.06, Drizzle , Light rain in the morning. ,0.0121,0.74,0.9,9.27,12.36,1545022800.0,3.847,41.42,1545076800.0,23.89,1545138000.0,35.95,1545076800.0,11.83,1545134400.0, rain ,36.71,1006.44,39.0,1.0,0.0,3.847,329.1,1545048558.0,1545081262.0,0.33,0.0178,1545066000.0,34.07,1545044400.0,41.42,1545076800.0,28.11,1545044400.0,35.95,1545076800.0
1054,66b7642b-fa34-437f-9fd2-9fa8305e18b0,1543739884.0,8.0,2.0,12.0,12/2/18 08:38,America/New_York,Boston University,Back Bay,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,8.0,1.56,1.0,42.3661,-71.0631,38.95,36.97, Possible Drizzle , Light rain until evening. ,0.0094,0.66,0.88,3.18,4.16,1543755600.0,6.572,50.94,1543788000.0,44.88,1543816800.0,50.27,1543788000.0,45.53,1543816800.0, rain ,35.8,1020.0,139.0,1.0,0.0,6.572,270.1,1543751796.0,1543785235.0,0.86,0.0894,1543770000.0,36.4,1543726800.0,50.94,1543788000.0,35.78,1543748400.0,50.27,1543788000.0
1055,b9520dfb-fa04-44f7-8a4b-e05a0f697570,1543405808.0,11.0,28.0,11.0,11/28/18 11:50,America/New_York,Financial District,Northeastern University,Uber,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,13.0,7.46,1.0,42.3647,-71.0542,35.54,30.98, Mostly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.73,5.31,7.2,1543431600.0,9.933,42.61,1543438800.0,37.6,1543489200.0,36.57,1543438800.0,32.12,1543478400.0, partly-cloudy-night ,27.87,991.07,270.0,0.76,0.0,9.933,345.8,1543405936.0,1543439716.0,0.72,0.0,1543420800.0,33.85,1543399200.0,42.61,1543438800.0,30.03,1543399200.0,36.57,1543438800.0
1056,4c4c4665-82b4-47af-a4bb-5b50af2f3dbc,1543269730.0,22.0,26.0,11.0,11/26/18 22:02,America/New_York,Financial District,Northeastern University,Lyft,lyft_lux,Lux Black,27.5,2.81,1.0,42.3503,-71.081,44.93,41.07, Possible Drizzle ," Rain until morning, starting again in the evening. ",0.0031,0.42,0.88,7.02,7.02,1543287600.0,9.967,46.46,1543255200.0,42.17,1543298400.0,43.81,1543251600.0,37.08,1543298400.0, rain ,41.58,1009.43,106.0,1.0,0.0,9.967,295.9,1543233004.0,1543266980.0,0.64,0.1245,1543251600.0,40.67,1543233600.0,46.46,1543255200.0,37.45,1543291200.0,43.81,1543251600.0
1057,d47aeb01-d820-416a-a4b7-ea7c51f819e5,1543457648.0,2.0,29.0,11.0,11/29/18 02:14,America/New_York,Haymarket Square,Back Bay,Uber,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,30.5,2.04,1.0,42.3429,-71.1003,37.92,31.91, Mostly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.71,8.28,12.43,1543431600.0,9.981,42.7,1543438800.0,37.17,1543464000.0,36.77,1543438800.0,31.87,1543460400.0, partly-cloudy-night ,29.42,997.37,305.0,0.75,0.0,9.981,348.9,1543405943.0,1543439731.0,0.72,0.0,1543420800.0,33.6,1543399200.0,42.7,1543438800.0,30.08,1543399200.0,36.77,1543438800.0
1058,5970ed91-1055-4c89-b91f-634da7dda91a,1544797208.0,14.0,14.0,12.0,12/14/18 14:20,America/New_York,Haymarket Square,Financial District,Lyft,lyft_premier,Lux,13.5,1.01,1.0,42.3519,-71.0643,36.08,33.9, Clear , Partly cloudy throughout the day. ,0.0,0.0,0.7,3.02,5.27,1544846400.0,9.832,46.67,1544814000.0,40.73,1544835600.0,43.88,1544817600.0,38.56,1544835600.0, clear-day ,27.29,1034.42,189.0,0.06,1.0,9.832,290.3,1544789236.0,1544822015.0,0.24,0.0,1544806800.0,27.05,1544781600.0,46.67,1544814000.0,24.47,1544785200.0,43.88,1544817600.0
1059,c487e139-cd1b-4792-ad00-2a4f2fec8603,1543278435.0,0.0,27.0,11.0,11/27/18 00:27,America/New_York,Financial District,Haymarket Square,Lyft,lyft_luxsuv,Lux Black XL,27.5,0.97,1.0,42.3661,-71.0631,44.52,39.94, Rain ," Rain until morning, starting again in the evening. ",0.1058,1.0,0.91,8.33,8.4,1543287600.0,3.79,46.49,1543255200.0,41.9,1543298400.0,43.84,1543244400.0,36.7,1543298400.0, rain ,42.17,1006.47,89.0,1.0,0.0,3.79,296.4,1543233003.0,1543266973.0,0.64,0.1225,1543251600.0,40.45,1543233600.0,46.49,1543255200.0,37.17,1543291200.0,43.84,1543244400.0
1060,27a5be55-1dac-40ed-ae89-9c60b19190b9,1544763314.0,4.0,14.0,12.0,12/14/18 04:55,America/New_York,Northeastern University,Theatre District,Lyft,lyft_luxsuv,Lux Black XL,32.5,2.01,1.0,42.3559,-71.055,31.1,31.1, Overcast , Partly cloudy throughout the day. ,0.0,0.0,0.71,1.66,2.42,1544738400.0,9.849,33.96,1544731200.0,27.21,1544781600.0,32.95,1544734800.0,24.55,1544785200.0, cloudy ,22.68,1034.9,200.0,1.0,0.0,9.849,310.1,1544702790.0,1544735601.0,0.21,0.0001,1544716800.0,18.24,1544688000.0,33.96,1544731200.0,13.72,1544688000.0,32.95,1544734800.0
1061,cefe52e2-287a-442e-805a-644a6839377f,1543307962.0,8.0,27.0,11.0,11/27/18 08:39,America/New_York,Financial District,South Station,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,7.0,0.39,1.0,42.3661,-71.0631,44.29,38.92, Light Rain , Light rain in the morning. ,0.0737,1.0,0.92,10.12,17.68,1543338000.0,2.903,46.83,1543320000.0,33.75,1543399200.0,43.85,1543320000.0,29.97,1543399200.0, rain ,42.11,992.91,63.0,1.0,0.0,2.903,289.3,1543319471.0,1543353345.0,0.68,0.1433,1543338000.0,36.13,1543377600.0,46.83,1543320000.0,32.05,1543377600.0,43.85,1543320000.0
1062,ff0a2624-2497-4ca9-a1b8-537271d61b19,1543430483.0,18.0,28.0,11.0,11/28/18 18:41,America/New_York,North Station,Haymarket Square,Uber,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,27.0,0.56,1.0,42.3647,-71.0542,40.92,35.13, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.64,9.21,15.03,1543431600.0,10.0,42.61,1543438800.0,37.6,1543489200.0,36.57,1543438800.0,32.12,1543478400.0, cloudy ,29.57,991.21,296.0,1.0,1.0,10.0,353.1,1543405936.0,1543439716.0,0.72,0.0,1543420800.0,33.85,1543399200.0,42.61,1543438800.0,30.03,1543399200.0,36.57,1543438800.0
1064,788cc399-06ed-4b24-b27c-bb1493cdd223,1544888712.0,15.0,15.0,12.0,12/15/18 15:45,America/New_York,West End,Boston University,Lyft,lyft_luxsuv,Lux Black XL,32.5,2.91,1.0,42.3519,-71.0551,50.71,50.71, Mostly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.83,3.55,4.79,1544918400.0,9.909,54.46,1544896800.0,39.29,1544954400.0,53.79,1544896800.0,35.17,1544947200.0, partly-cloudy-day ,45.61,1022.29,218.0,0.55,1.0,9.909,299.2,1544875676.0,1544908426.0,0.27,0.0081,1544893200.0,39.68,1544929200.0,54.46,1544896800.0,36.43,1544929200.0,53.79,1544896800.0
1065,e9e53742-470c-444d-95c1-d6c633b1c526,1543661581.0,10.0,1.0,12.0,12/1/18 10:53,America/New_York,Beacon Hill,Fenway,Lyft,lyft_lux,Lux Black,22.5,2.49,1.0,42.3398,-71.0892,32.05,28.02, Partly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.81,4.1,4.1,1543672800.0,9.858,44.8,1543690800.0,34.67,1543712400.0,44.13,1543690800.0,35.32,1543712400.0, partly-cloudy-night ,26.89,1021.7,309.0,0.4,0.0,9.858,280.6,1543665335.0,1543698864.0,0.82,0.0,1543683600.0,31.26,1543658400.0,44.8,1543690800.0,27.76,1543658400.0,44.13,1543690800.0
1067,c9386a83-e399-4979-9fc9-f5e507b0c776,1543299322.0,6.0,27.0,11.0,11/27/18 06:15,America/New_York,Theatre District,North End,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,7.0,1.57,1.0,42.2148,-71.033,43.03,36.79, Light Rain , Light rain in the morning. ,0.0674,1.0,0.93,11.62,12.67,1543334400.0,2.642,47.55,1543320000.0,33.1,1543402800.0,44.12,1543320000.0,29.11,1543392000.0, rain ,41.15,996.34,65.0,1.0,0.0,2.642,286.9,1543319437.0,1543353364.0,0.68,0.1064,1543338000.0,35.36,1543377600.0,47.55,1543320000.0,31.04,1543377600.0,44.12,1543320000.0
1068,01397f46-1030-4d3e-bda2-a341b47651d2,1543321822.0,12.0,27.0,11.0,11/27/18 12:30,America/New_York,West End,Boston University,Uber,6c84fd89-3f11-4782-9b50-97c468b19529,Black,24.0,2.8,1.0,42.3519,-71.0551,46.3,44.19, Light Rain , Light rain in the morning. ,0.0288,0.94,0.91,4.54,4.54,1543338000.0,3.295,46.89,1543320000.0,33.7,1543399200.0,43.85,1543320000.0,29.88,1543399200.0, rain ,43.94,988.29,201.0,1.0,0.0,3.295,314.0,1543319466.0,1543353345.0,0.68,0.142,1543338000.0,35.98,1543377600.0,46.89,1543320000.0,31.86,1543377600.0,43.85,1543320000.0
1069,06b94075-7b9d-49e5-b40f-b54324c38f50,1543405448.0,11.0,28.0,11.0,11/28/18 11:44,America/New_York,Fenway,Financial District,Lyft,lyft_premier,Lux,26.0,4.29,1.0,42.3647,-71.0542,35.54,30.98, Mostly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.73,5.31,7.2,1543431600.0,9.933,42.61,1543438800.0,37.6,1543489200.0,36.57,1543438800.0,32.12,1543478400.0, partly-cloudy-night ,27.87,991.07,270.0,0.76,0.0,9.933,345.8,1543405936.0,1543439716.0,0.72,0.0,1543420800.0,33.85,1543399200.0,42.61,1543438800.0,30.03,1543399200.0,36.57,1543438800.0
1070,582bf334-b964-4bd1-9f9b-ae30a49589f5,1545063904.0,16.0,17.0,12.0,12/17/18 16:25,America/New_York,Financial District,South Station,Lyft,lyft_line,Shared,5.0,0.48,1.0,42.3505,-71.1054,37.62,32.77, Overcast , Light rain in the morning. ,0.0,0.0,0.88,6.22,7.24,1545022800.0,8.54,41.44,1545076800.0,24.05,1545134400.0,36.09,1545076800.0,12.3,1545134400.0, cloudy ,34.53,1001.67,309.0,1.0,1.0,8.54,327.0,1545048567.0,1545081273.0,0.33,0.0217,1545066000.0,34.22,1545044400.0,41.44,1545076800.0,28.61,1545044400.0,36.09,1545076800.0
1071,f299adcd-55f6-4ba9-80da-fe4cdf63b94f,1545111913.0,5.0,18.0,12.0,12/18/18 05:45,America/New_York,Northeastern University,Beacon Hill,Lyft,lyft_plus,Lyft XL,13.5,2.44,1.0,42.3519,-71.0643,36.27,29.5, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.66,9.02,15.15,1545127200.0,7.357,32.91,1545159600.0,20.9,1545220800.0,22.87,1545159600.0,14.27,1545195600.0, cloudy ,26.11,1000.4,300.0,1.0,0.0,7.357,364.1,1545134994.0,1545167683.0,0.37,0.0029,1545152400.0,23.05,1545192000.0,37.96,1545109200.0,11.83,1545134400.0,31.85,1545109200.0
1072,ff7bc085-b7b1-4214-8c09-1cef19a3e65a,1545063008.0,16.0,17.0,12.0,12/17/18 16:10,America/New_York,Back Bay,Fenway,Uber,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,13.0,1.34,1.0,42.3505,-71.1054,37.62,32.77, Overcast , Light rain in the morning. ,0.0,0.0,0.88,6.22,7.24,1545022800.0,8.54,41.44,1545076800.0,24.05,1545134400.0,36.09,1545076800.0,12.3,1545134400.0, cloudy ,34.53,1001.67,309.0,1.0,1.0,8.54,327.0,1545048567.0,1545081273.0,0.33,0.0217,1545066000.0,34.22,1545044400.0,41.44,1545076800.0,28.61,1545044400.0,36.09,1545076800.0
1073,691904a6-3a62-46f2-94df-4f918c25f1d8,1543309942.0,9.0,27.0,11.0,11/27/18 09:12,America/New_York,West End,Northeastern University,Lyft,lyft_luxsuv,Lux Black XL,34.0,3.0,1.0,42.3503,-71.081,44.88,40.15, Light Rain , Light rain in the morning. ,0.0786,1.0,0.93,8.86,15.23,1543338000.0,3.522,46.91,1543320000.0,33.82,1543399200.0,44.01,1543320000.0,30.19,1543399200.0, rain ,43.03,991.89,67.0,1.0,0.0,3.522,291.2,1543319472.0,1543353352.0,0.68,0.1425,1543338000.0,36.34,1543377600.0,46.91,1543320000.0,32.43,1543377600.0,44.01,1543320000.0
1074,337d5f18-8060-4889-8e09-59ce0d60a3ca,1543398574.0,9.0,28.0,11.0,11/28/18 09:49,America/New_York,Beacon Hill,Northeastern University,Lyft,lyft_luxsuv,Lux Black XL,32.5,2.52,1.0,42.3429,-71.1003,34.26,30.15, Partly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.79,4.54,7.0,1543431600.0,9.924,42.7,1543438800.0,37.17,1543464000.0,36.77,1543438800.0,31.87,1543460400.0, partly-cloudy-night ,28.36,991.12,252.0,0.25,0.0,9.924,343.8,1543405943.0,1543439731.0,0.72,0.0,1543420800.0,33.6,1543399200.0,42.7,1543438800.0,30.08,1543399200.0,36.77,1543438800.0
1075,b20f75c6-4c2c-4346-ada8-defccd7f0907,1543803178.0,2.0,3.0,12.0,12/3/18 02:12,America/New_York,West End,Northeastern University,Lyft,lyft_plus,Lyft XL,19.5,3.02,1.0,42.3519,-71.0643,46.78,46.78, Overcast , Light rain until evening. ,0.0,0.0,0.96,2.99,2.99,1543755600.0,3.036,51.12,1543788000.0,44.96,1543816800.0,50.45,1543788000.0,45.61,1543816800.0, cloudy ,45.78,1002.75,317.0,1.0,0.0,3.036,288.3,1543751794.0,1543785238.0,0.86,0.0903,1543770000.0,36.29,1543726800.0,51.12,1543788000.0,35.71,1543748400.0,50.45,1543788000.0
1076,31265536-ffc1-4487-ba8f-3e3342bca06e,1543718280.0,2.0,2.0,12.0,12/2/18 02:37,America/New_York,Boston University,Financial District,Uber,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,11.5,3.78,1.0,42.2148,-71.033,36.5,36.5, Partly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.82,1.92,2.38,1543672800.0,9.689,44.11,1543690800.0,34.58,1543712400.0,43.44,1543690800.0,35.23,1543712400.0, partly-cloudy-night ,31.68,1023.33,162.0,0.46,0.0,9.689,274.1,1543665299.0,1543698873.0,0.82,0.0,1543683600.0,30.17,1543662000.0,44.11,1543690800.0,25.87,1543662000.0,43.44,1543690800.0
1077,1883d7c9-174a-44eb-a0d1-a43a867e3fe2,1544751012.0,1.0,14.0,12.0,12/14/18 01:30,America/New_York,West End,Boston University,Uber,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,17.0,2.8,1.0,42.3398,-71.0892,30.64,30.64, Overcast , Partly cloudy throughout the day. ,0.0,0.0,0.65,2.4,3.33,1544738400.0,10.0,33.88,1544731200.0,26.76,1544788800.0,32.93,1544734800.0,27.41,1544788800.0, cloudy ,20.26,1035.14,168.0,0.93,0.0,10.0,324.9,1544702795.0,1544735612.0,0.21,0.0001,1544716800.0,17.94,1544688000.0,33.88,1544731200.0,13.71,1544688000.0,32.93,1544734800.0
